en_name,ch_name,url,ranking,area
MPhil in Film and Screen Studies by Advanced Study,剑桥大学电影和银幕高级研究哲学硕士,/majr_66855,QS排名：2,社科 影视
MPhil in Human Evolutionary Studies,剑桥大学人类进化研究哲学硕士,/majr_66860,QS排名：2,理科 生物
MPhil in Multi-disciplinary Gender Studies,剑桥大学多学科性别研究哲学硕士,/majr_66866,QS排名：2,社科 其他社科
MPhil in Music,剑桥大学音乐哲学硕士,/majr_66867,QS排名：2,社科 其他社科
MPhil in Biological Science (Biochemistry),剑桥大学生物科学（生物化学）哲学硕士,/majr_66880,QS排名：2,理科 生物
MPhil in Biological Science (Genetics),剑桥大学生物科学（遗传学）哲学硕士,/majr_66881,QS排名：2,理科 生物
"MPhil in Biological Science (Physiology, Development and Neuroscience)",剑桥大学生物科学（生理学、发育与神经科学）哲学硕士,/majr_66882,QS排名：2,理科 生物
MPhil in Biological Science (Stem Cell Biology),剑桥大学生物科学（干细胞生物学）哲学硕士,/majr_66883,QS排名：2,理科 生物
MPhil in Classics,剑桥大学古典文学哲学硕士,/majr_66884,QS排名：2,社科 文化
MPhil in Engineering,剑桥大学工程哲学硕士,/majr_66888,QS排名：2,工科 其他工科
MPhil in Physics,剑桥大学物理学哲学硕士,/majr_66894,QS排名：2,理科 物理
MPhil in Biological Science (Veterinary Medicine),剑桥大学生物科学（兽医学）哲学硕士,/majr_67777,QS排名：2,理科 生物
MS in ICME-Mathematical & Computational Finance Track ,斯坦福大学数学计算金融硕士,/majr_65701,QS排名：3,商科 金工金数
MS in Electrical Engineering,斯坦福大学电气工程硕士,/majr_65805,QS排名：3,工科 电气电子
Master of Arts in Education- MA: International Comparative Education & International Education Policy Analysis,斯坦福大学教育学文学硕士：国际比较教育与国际教育政策分析,/majr_71669,QS排名：3,社科 教育
Master of Arts in Education- MS: Education Data Science,斯坦福大学教育学硕士：教育数据科学,/majr_71670,QS排名：3,社科 教育
MS in Mechanical Engineering,斯坦福大学机械工程理学硕士,/majr_71811,QS排名：3,工科 机械工程
Master of Science in Materials Science and Engineering,斯坦福大学材料科学与工程理学硕士,/majr_71873,QS排名：3,工科 材料
Master of Laws,斯坦福大学法学硕士,/majr_65630,QS排名：3,社科 法律
MS in Bioengineering,斯坦福大学生物工程理学硕士,/majr_71750,QS排名：3,工科 生物工程
MS in Management Science & Engineering,斯坦福大学管理科学与工程理学硕士,/majr_72006,QS排名：3,工科 工程管理
MS in Civil and Environmental Engineering,斯坦福大学土木与环境工程理学硕士,/majr_71929,QS排名：3,工科 环境工程
Master of Arts in International Policy,斯坦福大学国际政策文学硕士,/majr_65676,QS排名：3,社科 公共政策与事务
Master of Science in Computational and Mathematical Engineering-Data Science Track,斯坦福大学计算与数学工程硕士数据科学方向,/majr_65734,QS排名：3,理科 数据科学
Master of Science in Statistics,斯坦福大学统计学硕士,/majr_67219,QS排名：3,理科 数学
MSc in Mathematical and Computational Finance,牛津大学数学与计算金融理学硕士,/majr_50040,QS排名：4,商科 金工金数
MSc in Law and Finance,牛津大学法律与金融理学硕士,/majr_50039,QS排名：4,商科 金融
MSc in Advanced Computer Science,牛津大学高级计算机科学理学硕士,/majr_50023,QS排名：4,工科 计算机
MSc in Social Science of the Internet,牛津大学互联网社会科学理学硕士,/majr_50050,QS排名：4,工科 计算机
MSc in Economics for Development,牛津大学发展经济学理学硕士,/majr_50037,QS排名：4,商科 经济
MSc in Financial Economics,牛津大学金融经济学理学硕士,/majr_50051,QS排名：4,商科 经济
MSc in Economic and Social History,牛津大学经济与社会史理学硕士,/majr_62140,QS排名：4,商科 经济
MPhil in Economics,牛津大学经济学哲学硕士,/majr_62829,QS排名：4,商科 经济
MSc in Education (Child Development and Education),牛津大学教育（儿童发展与教育）理学硕士,/majr_50025,QS排名：4,社科 教育
