school,applicant
南洋理工大学电子学,"华南理工大学, 电子科学与技术（卓越班）, 已毕业，GPA80.62，雅思7.0"
南洋理工大学智能制造理学硕士,"华南理工大学, 过程装备与控制工程, 大四，GPA81.94，雅思6.5"
南洋理工大学国际建筑管理,"四川大学, 土地资源管理, 大四，GPA3.63，雅思6.5"
南洋理工大学国际建筑管理,"湖南大学, 工程管理, 三年工作经验，GPA82.9，雅思6.5"
南洋理工大学国际建筑管理,"天津大学, 城乡规划, 大四，GPA87，雅思7.0"
新加坡国立大学工业4.0理学硕士,"北京工业大学, 信息管理与信息系统, 已毕业，GPA85.53，雅思6.0"
新加坡国立大学计算机,"兰州大学, 数据科学与大数据技术, 大四，GPA93.29，托福105，GRE322"
南洋理工大学人工智能理学硕士,"清华大学, 自动化, 大四，GPA3.1，雅思6.5"
南洋理工大学人工智能理学硕士,"上海交通大学, 电子计算机工程, 大四，GPA3.3，雅思7.5"
南洋理工大学人工智能理学硕士,"浙江大学, 自动化, 大四，GPA3.75，雅思7.5"
南洋理工大学人工智能理学硕士,"上海交通大学, 电气工程及其自动化, 大四，GPA80，雅思6.5"
南洋理工大学人工智能理学硕士,"同济大学, 软件工程, 大四，GPA87，雅思6.5"
新加坡国立大学工业化学,"以色列理工学院, 化工, 已毕业，GPA76.5，无语言成绩"
新加坡国立大学电子工程,"华南理工大学, 电气工程及其自动化, 大四，GPA86，雅思6.5"
南洋理工大学电子学,"北京科技大学, 通信工程, 大四，GPA88.2，雅思7.0"
南洋理工大学电子学,"北京邮电大学, 通信工程, 已毕业，GPA83.36，雅思7.0"
南洋理工大学电子学,"东北大学, 通信工程, 大四，GPA86，雅思7.5"
新加坡国立大学计算机,"清华大学, 自动化, 大四，GPA3.1，雅思6.5"
南洋理工大学电子学,"北京理工大学, 自动化, 已毕业，GPA86，雅思7.0"
南洋理工大学电子学,"华中科技大学, 自动化, 大四，GPA83.94，雅思6.5"
南洋理工大学计算机控制和自动化,"格拉斯哥大学, 通信工程, 已毕业，GPA80.51，雅思6.5"
南洋理工大学计算机控制和自动化,"北京交通大学, 机械电子工程, 已毕业，GPA85.6，雅思7.0"
南洋理工大学计算机控制和自动化,"东北大学秦皇岛分校, 通信, 大四，GPA3.51，雅思6.5"
南洋理工大学计算机控制和自动化,"华中科技大学, 自动化, 大四，GPA83.94，雅思6.5"
南洋理工大学通信工程,"吉林大学, 电子信息科学与技术, 大四，GPA88.01，雅思6.5"
南洋理工大学计算机控制和自动化,"南京大学, 微电子科学与工程, 已毕业，GPA87，雅思7.5，GRE323"
南洋理工大学通信工程,"北京邮电大学, 通信工程, 已毕业，GPA83.36，雅思7.0"
南洋理工大学通信工程,"格拉斯哥大学, 通信工程, 已毕业，GPA80.51，雅思6.5"
南洋理工大学通信工程,"东北大学, 通信工程, 大四，GPA86，雅思7.5"
南洋理工大学通信工程,"四川大学, 自动化, 已毕业，GPA82，雅思7.0"
南洋理工大学通信工程,"东北大学秦皇岛分校, 通信, 大四，GPA3.51，雅思6.5"
新加坡国立大学土木工程,"东南大学, 交通工程, 大四，GPA83.55，雅思7.0"
新加坡国立大学电子工程,"东北大学, 自动化, 大四，GPA87.6，雅思6.5，GRE326"
新加坡国立大学电子工程,"吉林大学, 电子信息科学与技术, 大四，GPA88.01，雅思6.5"
新加坡国立大学食品科学与人类营养学理学硕士,"暨南大学, 食品科学与工程, 大四，GPA86，雅思6.5"
新加坡国立大学安全、健康与环境技术,"河海大学, 给排水科学与工程, 已毕业，GPA80.8，雅思6.5"
新加坡国立大学环境工程,"河海大学, 给排水科学与工程, 已毕业，GPA80.8，雅思6.5"
新加坡国立大学计算机工程 - 通识性方向,"澳门科技大学, 计算机技术及其应用, 已毕业，GPA85，雅思6.0"
新加坡国立大学安全、健康与环境技术,"南开大学, 环境科学, 大四，GPA3.39，雅思6.0"
南洋理工大学计算机控制和自动化,"华南理工大学, 电气工程及其自动化, 大四，GPA85.8，雅思6.5"
南洋理工大学计算机控制和自动化,"浙江大学, 自动化, 大四，GPA3.75，雅思7.5"
