school,applicant
莫纳什大学国际商务（外交与贸易/普通）硕士,"上海应用技术大学, 国际经济与贸易, 大四，GPA3.4，托福77"
昆士兰大学商业硕士,"不列颠哥伦比亚大学, 地理, 应届毕业生，GPA75.3"
莫纳什大学商业（商业、道德与社会/商业化/普通/信息技术/法律与商业责任/人力资本管理/市场营销/项目管理/定量商业分析/风险管理/供应链管理/可持续性）硕士,"江西财经大学, 会计学（国际会计）, 大四，GPA3.28，托福85"
墨尔本大学信息系统（专业方向/研究方向/健康方向）硕士,"西北工业大学, 信息管理与信息系统, 大四，GPA85.36，雅思6.5"
悉尼大学商学硕士,"南昌大学, 金融学, 已毕业，GPA87.1，雅思6"
澳大利亚国立大学应用金融学硕士,"西南财经大学, 投资学, 4年工作经验，GPA82.68，托福104"
澳大利亚国立大学金融学硕士,"南开大学, 金融学, 刚毕业，GPA79，雅思7.0"
悉尼大学商学硕士,"安徽大学, 金融学, 2019毕业生，GPA86.6，雅思6.5"
悉尼大学物流与供应链管理硕士,"天津财经大学, 物流管理, 大四，GPA87.17，雅思7"
昆士兰大学商学硕士,"加州大学圣塔芭芭拉分校, 统计与数据分析  副修数学, 已毕业，GPA2.7"
新南威尔士大学商学（银行业/商业分析/商业战略/经济与金融/企业系统与商业设计/金融/全球可持续性与社会企业/人力资源管理/创新与创业/国际商务/管理会计/市场营销/组织与管理研究/风险管理）硕士研究,"加州大学圣塔芭芭拉分校, 统计与数据分析  副修数学, 已毕业，GPA2.7"
悉尼大学专业会计硕士,"加州大学圣塔芭芭拉分校, 统计与数据分析  副修数学, 已毕业，GPA2.7"
悉尼大学商学硕士,"加州大学圣塔芭芭拉分校, 统计与数据分析  副修数学, 已毕业，GPA2.7"
新南威尔士大学商学（银行业/商业分析/商业战略/经济与金融/企业系统与商业设计/金融/全球可持续性与社会企业/人力资源管理/创新与创业/国际商务/管理会计/市场营销/组织与管理研究/风险管理）硕士研究,"对外经济贸易大学, 经济统计学, 大四，GPA2.53"
悉尼大学经济学硕士,"西南财经大学, 投资学, 4年工作经验，GPA82.68，托福104"
西澳大学应用金融学硕士,"江西财经大学, 国际会计, 大四，GPA3.28，托福85"
阿德莱德大学金融学硕士,"江西财经大学, 国际会计, 大四，GPA3.28，托福85"
昆士兰大学商业硕士,"辽宁大学, 播音主持与艺术, 1年工作经验，GPA81，雅思6.5"
